Generation,Min_Fitness,Max_Fitness,Avg_Fitness
10,1.000000,1.000000,1.000000
20,1.000000,7.000000,1.060000
30,1.000000,5.000000,1.040000
40,1.000000,6.000000,1.090000
50,1.000000,7.000000,1.060000
60,1.000000,6.000000,1.090000
70,1.000000,6.000000,1.050000
80,1.000000,7.000000,1.060000
90,1.000000,1.000000,1.000000
100,1.000000,1.000000,1.000000
110,1.000000,1.000000,1.000000
120,1.000000,6.000000,1.100000
130,1.000000,1.000000,1.000000
140,1.000000,1.000000,1.000000
150,1.000000,8.000000,1.140000
160,4.000000,11.000000,5.130000
170,5.000000,9.000000,5.040000
180,4.000000,12.000000,5.190000
190,5.000000,11.000000,5.110000
200,4.000000,10.000000,5.130000
210,5.000000,10.000000,5.050000
220,10.000000,17.000000,10.130000
230,10.000000,11.000000,10.010000
240,10.000000,16.000000,10.110000
250,10.000000,14.000000,10.040000
260,10.000000,16.000000,10.060000
270,15.000000,15.000000,15.000000
280,15.000000,22.000000,15.070000
290,15.000000,22.000000,15.110000
300,15.000000,21.000000,15.110000
310,15.000000,15.000000,15.000000
320,15.000000,21.000000,15.120000
330,15.000000,15.000000,15.000000
340,15.000000,17.000000,15.020000
350,15.000000,20.000000,15.050000
360,15.000000,15.000000,15.000000
370,19.000000,26.000000,19.070000
380,18.000000,20.000000,19.000000
390,19.000000,22.000000,19.030001
400,19.000000,19.000000,19.000000
410,19.000000,25.000000,19.150000
420,18.000000,19.000000,18.980000
430,19.000000,25.000000,19.129999
440,18.000000,25.000000,19.059999
450,19.000000,25.000000,19.059999
460,19.000000,19.000000,19.000000
470,18.000000,19.000000,18.990000
480,18.000000,19.000000,18.990000
490,19.000000,25.000000,19.280001
500,19.000000,19.000000,19.000000
