address;source_location;insn;indent
0x457f;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;PUSH	%RBP;
0x4580;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOV	%RSP,%RBP;
0x4583;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;PUSH	%RBX;
0x4584;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;SUB	$0xd8,%RSP;
0x458b;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;CALLQ	0x12a5f(%RIP);
0x4591;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOV	%RDI,-0xc8(%RBP);
0x4598;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOV	%RSI,-0xd0(%RBP);
0x459f;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOV	%RDX,-0xd8(%RBP);
0x45a6;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOV	%RCX,-0xe0(%RBP);
0x45ad;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOVQ	$0,-0xc0(%RBP);
0x45b8;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOV	-0xd8(%RBP),%RAX;
0x45bf;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOV	(%RAX),%RCX;
0x45c2;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOV	0x8(%RAX),%RBX;
0x45c6;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOV	%RCX,-0x70(%RBP);
0x45ca;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOV	%RBX,-0x68(%RBP);
0x45ce;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOV	0x10(%RAX),%RCX;
0x45d2;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOV	0x18(%RAX),%RBX;
0x45d6;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOV	%RCX,-0x60(%RBP);
0x45da;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOV	%RBX,-0x58(%RBP);
0x45de;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOV	0x20(%RAX),%RCX;
0x45e2;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOV	0x28(%RAX),%RBX;
0x45e6;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOV	%RCX,-0x50(%RBP);
0x45ea;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOV	%RBX,-0x48(%RBP);
0x45ee;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOV	0x30(%RAX),%RCX;
0x45f2;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOV	0x38(%RAX),%RBX;
0x45f6;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOV	%RCX,-0x40(%RBP);
0x45fa;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOV	%RBX,-0x38(%RBP);
0x45fe;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOV	0x40(%RAX),%RAX;
0x4602;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOV	%RAX,-0x30(%RBP);
0x4606;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOV	-0xd8(%RBP),%RAX;
0x460d;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOV	-0xc0(%RBP),%RCX;
0x4614;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOV	-0xb8(%RBP),%RBX;
0x461b;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOV	%RCX,(%RAX);
0x461e;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:320;MOV	%RBX,0x8(%RAX);
