group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;L;MOV,;56,;0x9e98,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;56,;0x9e88,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0x9e59,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0x9e49,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;8,;0x9d35,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x9d2b,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;56,;0x9cfc,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;56,;0x9cec,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0x9cbd,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;8,;0x9ade,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x9ad4,;Not found;0;Success;8;8;0;8;0;1;
1;S;MOV,;0,;0xa0a0,;Not found;0;Success;4;4;0;4;0;1;
1;L;MOV,;8,;0x9e03,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x9df9,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;56,;0x9dca,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0x9cad,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;8,;0x9c67,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x9c5d,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;56,;0x9aa5,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;56,;0x9a95,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0x9a66,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0x9a56,;Not found;0;Success;8;8;0;8;0;1;
68;LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLSL;CMP,CMP,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,CMP,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,CMP,MOV,MOV,CMP,ADD,MOV,;-52,-52,-52,-584,-584,-584,-584,-584,-584,-416,-424,-424,-416,-52,-96,-96,-104,-52,-584,-584,-584,-584,-584,-584,-52,-584,-584,-584,-584,-584,-584,-52,-584,-584,-584,-584,-584,-584,-52,-584,-584,-584,-584,-584,-584,-432,-440,-448,-456,-464,-472,-480,-488,-488,-480,-472,-464,-456,-448,-440,-432,-52,-64,-64,-72,-52,-52,-52,;0x9a11,0x9a23,0x9a4a,0x9a4f,0x9a5f,0x9a8e,0x9a9e,0x9acd,0x9ad7,0x9b18,0x9b1f,0x9b46,0x9b52,0x9b66,0x9b96,0x9b9c,0x9bc8,0x9bd3,0x9bd8,0x9be8,0x9c17,0x9c27,0x9c56,0x9c60,0x9ca1,0x9ca6,0x9cb6,0x9ce5,0x9cf5,0x9d24,0x9d2e,0x9d6f,0x9d74,0x9d84,0x9db3,0x9dc3,0x9df2,0x9dfc,0x9e3d,0x9e42,0x9e52,0x9e81,0x9e91,0x9ec0,0x9eca,0x9f0b,0x9f12,0x9f39,0x9f40,0x9f69,0x9f70,0x9f99,0x9fa0,0x9fc9,0x9fd5,0x9fe4,0x9ff0,0x9fff,0xa00b,0xa01a,0xa026,0xa03a,0xa06a,0xa070,0xa09c,0xa0a7,0xa0ca,0xa0ce,;Success;0;Success;496;124;372;536;0;1;
1;L;MOV,;8,;0x9ed1,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x9ec7,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;56,;0x9dba,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0x9d8b,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0x9d7b,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;56,;0x9c2e,;Not found;0;Success;8;8;0;8;0;1;
1;S;MOV,;0,;0x9bcc,;Not found;0;Success;4;4;0;4;0;1;
1;L;MOV,;56,;0x9c1e,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0x9bef,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0x9bdf,;Not found;0;Success;8;8;0;8;0;1;
